City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,westport,41.1415,-73.3579,9.95,38,0,0.89,US,1731193277
1,grytviken,-54.2811,-36.5092,-4.63,73,11,4.63,GS,1731192876
2,adamstown,-25.066,-130.1015,23.16,88,99,9.42,PN,1731193449
3,waitangi,-43.9535,-176.5597,12.95,92,96,4.55,NZ,1731192857
4,punta arenas,-53.15,-70.9167,7.06,87,75,4.12,CL,1731192957
5,ancud,-41.8697,-73.8203,10.72,78,64,2.33,CL,1731193205
6,tazacorte,28.629,-17.9293,25.64,29,0,4.47,ES,1731193454
7,college,64.8569,-147.8028,-10.01,79,40,0.0,US,1731192673
8,papatowai,-46.5619,169.4708,13.13,56,99,2.98,NZ,1731193048
9,wailua homesteads,22.0669,-159.378,27.44,80,0,7.72,US,1731192901
10,fale old settlement,-9.3852,-171.2468,28.2,75,41,3.24,TK,1731193156
11,margaret river,-33.95,115.0667,11.63,74,6,2.21,AU,1731192862
12,luba,3.4568,8.5547,26.35,82,100,2.76,GQ,1731193461
13,blackmans bay,-43.0167,147.3167,12.51,62,73,0.89,AU,1731192981
14,walvis bay,-22.9575,14.5053,15.53,82,6,0.51,NA,1731193243
15,san antonio de pale,-1.4014,5.6325,26.1,83,75,5.99,GQ,1731193244
16,tralee,52.2704,-9.7026,12.4,92,100,2.05,IE,1731193383
17,holualoa,19.6228,-155.9522,26.42,82,75,3.6,US,1731193467
18,alpena,45.0617,-83.4327,7.28,82,0,4.12,US,1731193468
19,stanley,54.868,-1.6985,7.38,97,75,0.0,GB,1731193042
20,west island,-12.1568,96.8225,25.99,83,20,7.72,CC,1731193470
21,mount isa,-20.7333,139.5,33.87,14,84,3.09,AU,1731193472
22,hefei,31.8639,117.2808,15.01,100,75,1.0,CN,1731193473
23,kapa'a,22.0752,-159.319,28.18,81,75,7.2,US,1731193474
24,santo antonio,-6.3106,-35.4789,25.06,75,22,3.8,BR,1731193337
25,coquimbo,-29.9533,-71.3436,16.85,70,20,4.12,CL,1731193399
26,qaqortoq,60.7167,-46.0333,0.23,99,100,2.31,GL,1731192934
27,vila franca do campo,37.7167,-25.4333,20.23,99,97,2.76,PT,1731192883
28,nar'yan-mar,67.6713,53.087,-6.12,84,90,4.2,RU,1731192885
29,gazojak,41.1875,61.4036,5.29,53,0,1.72,TM,1731193482
30,port mathurin,-19.6833,63.4167,24.17,87,55,7.49,MU,1731192912
31,queenstown,-31.8976,26.8753,13.61,88,100,1.29,ZA,1731193234
32,atafu village,-8.5421,-172.5159,28.22,70,76,2.98,TK,1731192992
33,weno,7.4515,151.8468,30.97,70,75,3.09,FM,1731193489
34,hermanus,-34.4187,19.2345,17.11,85,24,6.55,ZA,1731193194
35,ewo,-0.8725,14.8206,20.93,97,100,1.84,CG,1731193491
36,klaksvik,62.2266,-6.589,9.11,97,96,9.65,FO,1731193493
37,mar del plata,-38.0023,-57.5575,23.01,56,0,3.6,AR,1731193055
38,thompson,55.7435,-97.8558,7.09,45,40,4.63,CA,1731193007
39,ilulissat,69.2167,-51.1,-4.99,74,100,4.63,GL,1731193496
40,ceeldheer,3.8488,47.1806,25.95,85,46,3.15,SO,1731193037
41,edinburgh of the seven seas,-37.0676,-12.3116,15.13,92,100,3.6,SH,1731193498
42,westminster,39.8367,-105.0372,5.57,86,75,3.09,US,1731193499
43,labytnangi,66.6572,66.4183,-15.18,87,72,3.51,RU,1731193501
44,tarawa,1.419,172.984,32.05,66,40,3.09,KI,1731193502
45,mugia,43.1041,-9.2179,17.17,96,100,3.9,ES,1731193369
46,mount pearl,47.5166,-52.7813,3.97,94,100,9.26,CA,1731193326
47,flying fish cove,-10.4217,105.6791,25.82,94,100,5.14,CX,1731193180
48,arkadelphia,34.1209,-93.0538,21.87,88,100,0.0,US,1731193507
49,natal,-5.795,-35.2094,27.12,74,20,4.63,BR,1731193086
50,port-aux-francais,-49.35,70.2167,5.28,83,84,10.18,TF,1731193509
51,whitehorse,60.7161,-135.0538,2.43,64,40,5.66,CA,1731193512
52,jamestown,42.097,-79.2353,8.8,55,0,2.57,US,1731193513
53,remire-montjoly,4.9167,-52.2667,28.02,83,0,3.09,GF,1731193058
54,vila velha,-20.3297,-40.2925,22.19,93,75,4.02,BR,1731193477
55,acarau,-2.8856,-40.12,25.79,79,41,8.1,BR,1731193267
56,mpika,-11.8343,31.4529,19.28,63,33,3.52,ZM,1731193518
57,bargaal,11.2864,51.0773,24.54,74,82,2.82,SO,1731193519
58,mahibadhoo,3.7833,72.9667,27.73,75,100,4.59,MV,1731193520
59,memari,23.2,88.1167,20.51,75,0,2.7,IN,1731193460
60,ola,59.5833,151.2833,-15.72,72,75,3.64,RU,1731193523
61,tsiombe,-25.3,45.4833,22.12,85,8,1.44,MG,1731193328
62,la'ie,21.6477,-157.9253,27.28,76,25,2.68,US,1731193525
63,fortuna,40.5982,-124.1573,15.19,57,0,0.0,US,1731193130
64,ta`u,-14.2336,-169.5144,27.11,82,77,9.13,AS,1731193527
65,carnarvon,-24.8667,113.6333,20.6,70,23,8.92,AU,1731193178
66,sandnessjoen,66.0217,12.6316,7.84,69,41,5.09,NO,1731193393
67,maluso,6.543,121.8753,27.64,84,71,3.23,PH,1731193531
68,hamilton,39.1834,-84.5333,15.43,55,75,3.6,US,1731192852
69,badger,64.8,-147.5333,-10.05,83,0,0.0,US,1731193056
70,mccook,40.2019,-100.6257,8.03,87,75,2.06,US,1731193536
71,tazovsky,67.4667,78.7,-7.67,94,100,9.22,RU,1731193541
72,itapira,-22.4361,-46.8217,19.07,85,25,3.86,BR,1731193543
73,klyuchi,52.2667,79.1667,-3.64,90,100,9.51,RU,1731192960
74,puerto natales,-51.7236,-72.4875,10.25,53,40,8.23,CL,1731193301
75,pul-e khumri,35.9446,68.7151,9.67,91,99,0.47,AF,1731193546
76,grand falls-windsor,48.9332,-55.6649,0.96,84,97,8.99,CA,1731193548
77,invercargill,-46.4,168.35,16.68,51,100,1.34,NZ,1731192842
78,mendi,-6.1761,143.6513,16.7,86,100,0.59,PG,1731193550
79,bredasdorp,-34.5322,20.0403,15.99,83,32,6.32,ZA,1731193551
80,albany,42.6001,-73.9662,6.23,53,0,2.63,US,1731193487
81,teploye,53.6202,37.5903,3.09,97,34,3.96,RU,1731193554
82,olonkinbyen,70.9221,-8.7187,1.0,100,100,6.85,SJ,1731193556
83,keelung,25.1283,121.7419,23.94,97,98,3.76,TW,1731193557
84,wotho,10.1657,166.0102,28.57,78,61,8.5,MH,1731193558
85,villa gesell,-37.2639,-56.973,18.73,74,99,7.67,AR,1731193296
86,kloulklubed,7.0419,134.2556,28.63,77,90,3.24,PW,1731193561
87,antofagasta,-23.65,-70.4,18.6,75,13,1.25,CL,1731192878
88,ketchikan,55.3422,-131.6461,6.99,87,100,4.12,US,1731193563
89,tutoia,-2.7619,-42.2744,26.46,81,16,6.6,BR,1731193564
90,ciudad lazaro cardenas,17.9583,-102.2,28.58,72,37,3.51,MX,1731193566
91,prado,-17.3411,-39.2208,25.54,86,62,6.33,BR,1731193533
92,saldanha,-33.0117,17.9442,15.03,86,0,2.22,ZA,1731193569
93,puerto ayora,-0.7393,-90.3518,21.97,88,19,2.24,EC,1731193570
94,baruun-urt,46.6806,113.2792,-5.43,86,4,1.21,MN,1731193571
95,terra roxa,-23.8557,-50.0314,19.3,86,34,4.5,BR,1731193572
96,christchurch,-43.5333,172.6333,18.56,55,89,8.23,NZ,1731193322
97,tiksi,71.6872,128.8694,-13.77,93,100,3.31,RU,1731193574
98,bethel,41.3712,-73.414,7.72,42,0,0.45,US,1731193576
99,halifax,44.6453,-63.5724,3.03,71,9,7.6,CA,1731192770
100,iqaluit,63.7506,-68.5145,-8.15,67,100,5.14,CA,1731193578
101,villa bruzual,9.3328,-69.1208,26.01,84,99,1.88,VE,1731193581
102,vilyuchinsk,52.9306,158.4028,-7.85,75,37,2.56,RU,1731193582
103,alice springs,-23.7,133.8833,24.75,41,100,1.54,AU,1731193353
104,oranjemund,-28.55,16.4333,14.83,96,63,2.94,NA,1731193587
105,bilibino,68.0546,166.4372,-23.93,99,97,0.84,RU,1731193588
106,ushuaia,-54.8,-68.3,7.81,81,75,2.06,AR,1731193590
107,great falls,47.5002,-111.3008,13.66,48,0,4.63,US,1731193518
108,crane,31.3974,-102.3501,20.85,19,0,2.33,US,1731193592
109,ust-nera,64.5667,143.2,-21.39,98,100,1.6,RU,1731193593
110,antalaha,-14.9003,50.2788,22.77,79,2,3.63,MG,1731193594
111,hawaiian paradise park,19.5933,-154.9731,27.71,79,40,2.57,US,1731193596
112,takab,36.4009,47.1133,5.01,67,61,1.54,IR,1731193598
113,constantia,44.1833,28.65,6.5,83,92,6.53,RO,1731193414
114,el fasher,13.6279,25.3494,23.77,23,5,3.78,SD,1731193335
115,selfoss,63.9331,-20.9971,10.02,94,100,8.03,IS,1731193412
116,tolanaro,-25.0319,46.9987,21.41,92,35,1.71,MG,1731193604
117,nadym,65.5333,72.5167,-7.01,95,100,7.06,RU,1731193605
118,dhidhdhoo,6.8833,73.1,27.94,70,45,0.38,MV,1731193606
119,tshikapa,-6.4167,20.8,20.91,99,100,1.07,CD,1731193607
120,kurumkan,54.3,110.3,-9.2,91,93,2.7,RU,1731193609
121,georgetown,5.4112,100.3354,26.96,82,20,1.03,MY,1731193529
122,glace bay,46.1969,-59.957,3.87,85,75,13.38,CA,1731193611
123,nema,57.5067,50.5011,2.66,83,95,6.73,RU,1731193613
124,port elizabeth,-33.918,25.5701,14.62,96,87,1.87,ZA,1731193614
125,peace river,56.2501,-117.286,2.99,55,45,2.44,CA,1731193615
126,hithadhoo,-0.6,73.0833,28.25,71,90,5.53,MV,1731193443
127,antonio enes,-16.2325,39.9086,23.15,87,0,0.91,MZ,1731193617
128,labrador city,52.9463,-66.9114,-6.05,73,75,4.12,CA,1731193387
129,yellowknife,62.456,-114.3525,-13.71,66,75,4.12,CA,1731193577
130,general acha,-37.377,-64.6043,19.38,91,88,8.22,AR,1731193363
